NUTS 3,NUTS 2,NUTS 1,Codigo_Cidade,Designação,Duração média dos movimentos pendulares (minutos) da população residente empregada ou estudante por Local de residência (Cidade),A pé,Automovel ligeiro - como condutor,Automovel ligeiro - como passageiro,Autocarro,Transporte colectivo da empresa ou da escola,Metropolitano,Comboio,Motociclo,Bicicleta,Barco,Outro
2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19
111,11,1,1110001,Viana do Castelo,16.03,4616,10158,4836,1328,408,16,133,118,120,0,25
111,11,1,1110152,Valença,12.56,751,1629,773,111,44,3,43,37,14,0,5
112,11,1,1120002,Barcelos,13.98,3925,5411,2392,331,268,13,119,79,23,0,15
112,11,1,1120003,Braga,17.04,18004,39849,17782,8572,1502,41,904,281,132,0,101
112,11,1,1120004,Esposende,16.41,1164,2819,1110,430,150,21,4,107,101,1,16
113,11,1,1130005,Fafe,14.71,2888,3774,1585,295,292,7,15,47,8,0,10
113,11,1,1130006,Vizela,15.58,2024,2460,1341,262,134,2,84,55,7,0,5
113,11,1,1130007,Guimarães,15.51,6108,12953,5600,2945,595,10,176,78,14,0,36
113,11,1,1130008,Trofa,16.63,2348,4849,2034,448,146,44,412,86,58,0,16
113,11,1,1130009,Santo Tirso,15.94,3051,7710,3022,1425,201,8,304,215,18,1,23
113,11,1,1130010,Vila Nova de Famalicão,16.15,4133,10445,4619,1121,418,15,587,130,18,0,43
114,11,1,1140011,Espinho,19.15,3516,4151,1553,411,251,28,893,66,65,0,6
114,11,1,1140012,Gondomar,21.7,2362,7366,3537,2292,196,304,69,101,23,0,34
114,11,1,1140013,Rio Tinto,23.81,4672,15755,6791,7830,457,1954,920,148,30,1,92
114,11,1,1140014,Maia,20.06,3495,12612,5203,1975,277,1599,79,149,26,1,46
114,11,1,1140015,Matosinhos,19.33,6378,12542,4653,2804,269,1772,67,160,111,1,82
114,11,1,1140016,Porto,20.25,26647,46109,17278,21099,965,9284,772,579,272,6,262
114,11,1,1140017,Póvoa de Varzim,18.4,6611,8933,4251,1081,380,986,56,288,337,9,39
114,11,1,1140018,Valongo,22,2173,6826,3150,1635,189,79,964,58,17,0,26
114,11,1,1140019,Ermesinde,23.07,4150,8977,3442,3144,320,172,2088,83,32,2,28
114,11,1,1140020,Vila do Conde,18.69,4892,6092,2915,615,609,839,36,115,140,15,30
114,11,1,1140021,Vila Nova de Gaia,22.74,15832,44696,19004,16991,1388,6673,2065,767,163,9,261
114,11,1,1140132,São Mamede de Infesta,21.03,2221,5661,2042,2458,135,411,48,89,19,1,15
114,11,1,1140148,Valbom,22.02,1395,3429,1513,1272,106,376,51,42,18,0,20
114,11,1,1140155,Senhora da Hora,19.79,2380,7466,2823,1571,135,2912,64,84,30,0,51
114,11,1,1140158,Alfena,21.71,1227,3945,1673,1203,257,32,273,41,12,0,22
115,11,1,1150022,Amarante,16.92,1530,3205,1529,445,406,4,9,49,1,0,13
115,11,1,1150023,Lixa,15.95,671,1321,634,105,148,1,33,26,3,0,7
115,11,1,1150024,Felgueiras,13.89,2900,3975,2332,380,553,4,49,90,5,0,13
115,11,1,1150025,Marco de Canaveses,18,1600,2356,1298,235,206,6,182,54,3,0,11
115,11,1,1150026,Paços de Ferreira,13.1,1957,3984,1900,570,278,2,12,218,49,1,9
115,11,1,1150027,Paredes,18.21,2047,5316,2518,1089,427,9,586,204,12,0,18
115,11,1,1150028,Penafiel,17.98,1457,2763,1352,245,162,7,266,28,1,0,10
115,11,1,1150133,Freamunde,13.54,1632,2546,1274,554,272,0,19,156,19,0,9
115,11,1,1150138,Rebordosa,15.05,1201,2236,1105,443,107,6,46,136,14,1,12
115,11,1,1150139,Lordelo,13.46,1578,2097,1032,466,164,3,12,173,7,0,7
115,11,1,1150140,Gandra,17.57,387,1911,779,578,361,4,67,88,22,0,3
116,11,1,1160029,Santa Maria da Feira,16.8,1659,6056,2416,673,233,5,113,170,44,1,20
116,11,1,1160030,Oliveira de Azeméis,13.69,2146,4617,1982,347,85,9,36,143,19,0,10
116,11,1,1160031,São João da Madeira,14.36,3681,6047,2804,422,94,9,61,111,29,0,17
116,11,1,1160032,Vale de Cambra,13.08,728,1694,739,76,39,2,4,43,2,0,7
116,11,1,1160128,Lourosa,15.37,802,2424,1178,309,67,5,33,135,29,0,10
116,11,1,1160129,Fiães,15.33,752,2182,961,257,82,3,23,139,12,0,14
117,11,1,1170034,Peso da Régua,15.44,1858,1995,1020,164,151,3,53,6,0,0,11
117,11,1,1170035,Vila Nova de Foz Côa,12.66,629,659,291,15,34,3,3,3,7,0,2
117,11,1,1170036,Vila Real,15.21,3329,8565,3726,1389,156,7,0,40,8,0,19
117,11,1,1170150,Tarouca,14.51,469,681,300,123,47,1,3,6,3,0,3
118,11,1,1180037,Bragança,14.13,3182,7417,3161,274,97,8,0,33,16,0,21
118,11,1,1180038,Chaves,13.84,2549,6008,2584,550,170,11,4,33,30,0,9
118,11,1,1180039,Miranda do Douro,11.3,334,535,190,85,38,2,0,4,4,0,2
118,11,1,1180040,Mirandela,13.63,2044,3223,1345,250,54,6,0,23,8,0,11
118,11,1,1180123,Valpaços,13.33,815,867,426,47,14,4,0,11,1,0,0
118,11,1,1180125,Macedo de Cavaleiros,13.8,1225,1562,652,68,85,1,0,7,3,0,18
161,16,1,1610041,Águeda,13.79,1156,4792,1919,246,110,3,93,301,108,0,13
161,16,1,1610042,Aveiro,15.65,5871,18833,7274,2294,260,15,731,698,871,10,51
161,16,1,1610043,Ílhavo,15.33,836,3116,1214,301,40,3,85,171,248,0,13
161,16,1,1610044,Ovar,17.96,2412,4200,1860,384,117,7,661,137,355,0,16
161,16,1,1610045,Esmoriz,18.51,1321,3042,1406,300,98,5,415,121,103,0,16
161,16,1,1610130,Gafanha da Nazaré,14.71,758,3749,1306,360,54,2,95,232,1181,11,13
161,16,1,1610135,Oliveira do Bairro,14.92,399,1531,580,101,43,0,69,98,39,0,2
161,16,1,1610136,Mealhada,16.67,519,1469,609,37,16,0,119,57,45,0,4
161,16,1,1610142,Estarreja,16.21,859,2026,834,78,76,4,238,87,134,2,5
161,16,1,1610143,Anadia,14.33,562,1895,885,61,16,1,75,112,96,0,6
161,16,1,1610157,Albergaria-a-Velha,15.63,858,2785,1080,168,85,4,27,64,57,0,10
162,16,1,1620046,Cantanhede,16.37,782,1765,716,81,40,1,8,36,105,0,8
162,16,1,1620047,Coimbra,18.49,7813,32561,12342,9286,698,30,348,528,95,0,98
162,16,1,1620048,Figueira da Foz,17.95,2976,7571,3310,796,480,4,266,229,106,2,25
163,16,1,1630049,Leiria,15.4,4721,18227,6917,1784,401,31,28,290,98,0,59
163,16,1,1630050,Marinha Grande,13.88,1197,3338,1147,202,62,2,2,89,191,0,7
163,16,1,1630051,Pombal,15.48,1442,3688,1552,385,107,1,79,37,44,0,44
164,16,1,1640052,Oliveira do Hospital,13.01,907,1587,736,85,68,2,0,19,3,0,6
165,16,1,1650053,Mangualde,14.51,714,1918,979,74,26,3,11,21,6,0,13
165,16,1,1650054,Tondela,13.72,806,2498,1053,141,76,1,3,126,65,0,9
165,16,1,1650055,Viseu,15.3,5708,18680,8372,1849,331,27,12,128,52,0,36
165,16,1,1650126,Santa Comba Dão,14.9,427,913,383,50,44,1,13,20,2,0,3
165,16,1,1650153,São Pedro do Sul,13.64,470,606,242,44,18,0,0,8,2,0,1
167,16,1,1670056,Gouveia,13.09,515,697,261,34,34,3,2,14,1,0,1
167,16,1,1670057,Seia,13.16,693,1553,705,62,16,1,0,8,2,0,6
168,16,1,1680058,Guarda,14.05,3279,8494,3368,946,163,7,18,25,4,0,25
168,16,1,1680059,Pinhel,13.2,602,694,278,19,40,0,3,5,2,0,5
168,16,1,1680145,Meda,12.6,333,516,198,61,42,0,0,6,2,0,5
168,16,1,1680146,Trancoso,12.14,384,827,378,42,20,0,2,1,4,0,2
168,16,1,1680147,Sabugal,12.93,422,567,208,22,21,0,3,1,0,0,0
169,16,1,1690060,Castelo Branco,14.24,5524,10416,3999,1045,193,16,36,93,24,1,22
16A,16,1,16A0061,Covilhã,14.97,3039,9402,3732,2137,278,6,17,83,15,0,29
16A,16,1,16A0062,Fundão,14.02,1763,1989,761,134,75,3,29,9,4,0,7
16B,16,1,16B0063,Alcobaça,14.55,1104,1832,701,129,52,4,2,31,14,0,4
16B,16,1,16B0064,Caldas da Rainha,15.74,4330,7193,3124,693,240,25,49,123,85,0,12
16B,16,1,16B0065,Peniche,14.24,2964,3050,1143,249,98,9,3,147,191,1,12
16B,16,1,16B0066,Torres Vedras,18.79,3310,4549,1840,1148,173,10,32,35,28,0,11
16C,16,1,16C0081,Abrantes,15.44,1603,5416,2376,681,119,10,147,108,71,0,25
16C,16,1,16C0082,Entroncamento,22.05,2524,5161,2081,540,201,15,1014,63,187,1,10
16C,16,1,16C0083,Tomar,16.06,2772,3479,1362,139,58,13,182,62,39,0,13
16C,16,1,16C0084,Torres Novas,16.2,1657,3803,1525,251,63,8,141,83,28,0,12
16C,16,1,16C0085,Fátima,13.43,932,2553,1069,208,151,5,0,23,25,0,5
16C,16,1,16C0086,Ourém,15.26,1027,1840,653,110,48,2,23,29,5,0,1
171,17,1,1710067,Amadora,25.83,17607,34005,12959,17188,1068,7208,10402,553,68,31,165
171,17,1,1710068,Lisboa,23.04,51859,106186,42278,59335,2816,35726,4956,2920,599,222,1845
171,17,1,1710069,Odivelas,27.16,4773,13249,4521,4709,449,7337,189,217,21,4,75
171,17,1,1710070,Loures,27.02,4170,11360,4252,6946,306,1124,59,144,18,3,34
171,17,1,1710071,Sacavém,25.7,2257,5346,2392,3906,175,414,268,95,10,2,32
171,17,1,1710072,Queluz,28.52,8549,15308,5912,4407,580,310,11502,266,17,1,62
171,17,1,1710073,Vila Franca de Xira,23.97,2502,3240,1127,885,241,18,1361,38,9,8,8
171,17,1,1710074,Alverca do Ribatejo,26.57,3895,7705,2643,1891,331,46,2892,90,39,3,29
171,17,1,1710124,Póvoa de Santa Iria,28.34,2631,8827,3544,2090,324,183,3444,105,20,20,51
171,17,1,1710131,Agualva-Cacém,30.35,8989,17273,6741,5904,733,207,11095,241,24,4,57
172,17,1,1720075,Almada,28.87,11107,14544,5599,10107,743,3340,4024,280,72,1453,329
172,17,1,1720076,Barreiro,33.4,7166,9480,3586,4933,939,384,877,92,101,6030,67
172,17,1,1720077,Montijo,25.66,4198,9506,3702,2298,466,47,108,108,154,1518,26
172,17,1,1720078,Amora,30.35,5605,6736,2513,3220,597,133,4160,77,46,333,30
172,17,1,1720079,Seixal,29.2,3120,6156,2432,2266,429,128,2281,90,57,1018,27
172,17,1,1720080,Setúbal,21.9,11657,22379,8950,7684,2050,32,1890,407,123,170,71
172,17,1,1720149,Costa da Caparica,30.47,1262,2501,908,1593,67,15,332,58,32,54,9
181,18,1,1810091,Alcácer do Sal,16.73,916,1672,749,210,130,4,4,40,13,0,9
181,18,1,1810092,Santiago do Cacém,14.13,789,1775,636,83,131,3,2,5,3,0,11
181,18,1,1810093,Sines,12.3,1929,3323,1393,330,429,12,8,49,58,0,7
181,18,1,1810141,Vila Nova de Santo André,15.09,1130,2612,870,291,479,4,5,8,29,2,8
